root_lot_id,wafer_id,product_id,route_id,fdc_cvd_pressure_slope_p95,fdc_cvd_rf_power_std,fdc_etch_temp_range,metro_thk_edge_wl128,metro_thk_edge_wl160,metro_cd_center_wl160,queue_time_before_etch,prev_defect_count_after_metro,recipe_ppid_77a_flag,final_eds_proxy_leakage_feature
LOT1036,LOT1036_W05,PRODB,ROUTE_X,-0.6222,0.3169,-0.5807,-0.7523,-0.0933,0.0999,6.2953,1,0,1.6429
LOT1037,LOT1037_W01,PRODB,ROUTE_X,2.0603,1.1297,0.6947,1.1984,1.4517,1.013,2.767,1,0,8.1515
LOT1037,LOT1037_W02,PRODA,ROUTE_X,-0.2254,-0.1115,0.2559,-0.0118,-0.2073,0.2874,0.8142,1,0,1.2893
LOT1037,LOT1037_W03,PRODA,ROUTE_Y,-1.277,0.6871,0.6517,-2.2449,-0.7983,-1.0649,2.0652,0,0,-0.6136
LOT1037,LOT1037_W04,PRODB,ROUTE_Y,0.0699,-2.1708,-0.0088,0.4834,-0.8502,0.6915,3.3986,2,0,5.0902
LOT1037,LOT1037_W05,PRODA,ROUTE_Y,-1.0762,-1.814,0.5132,-1.0055,-1.2195,-0.9591,4.2333,1,0,0.0838
LOT1038,LOT1038_W01,PRODB,ROUTE_Y,-0.7518,-1.4442,-0.4188,0.5611,-1.5015,-0.6719,1.9452,2,0,-0.0624
LOT1038,LOT1038_W02,PRODA,ROUTE_X,0.397,-0.1284,2.2297,-0.208,0.5794,-0.8645,0.7558,1,0,1.156
LOT1038,LOT1038_W03,PRODA,ROUTE_Y,2.7556,1.7486,-1.5679,2.6991,3.1704,1.8523,1.4256,4,1,22.8086
LOT1038,LOT1038_W04,PRODB,ROUTE_X,-0.6222,-1.6677,1.2609,0.3669,-2.6336,0.509,0.4713,1,0,0.0795
LOT1038,LOT1038_W05,PRODA,ROUTE_X,0.9874,-0.3929,1.3679,1.6427,1.3761,0.8025,2.9723,3,0,15.1493
LOT1039,LOT1039_W01,PRODA,ROUTE_Y,1.1575,-0.196,-0.8522,0.7746,-0.7511,1.4787,1.2099,1,0,0.9108
LOT1039,LOT1039_W02,PRODA,ROUTE_Y,1.4363,2.9298,2.2293,1.5595,1.761,3.0999,0.9348,2,0,14.2528
LOT1039,LOT1039_W03,PRODB,ROUTE_Y,0.5294,1.8863,0.9955,0.5305,1.5798,-1.6033,3.1794,3,0,5.609
LOT1039,LOT1039_W04,PRODA,ROUTE_X,1.3634,0.3111,0.9711,1.5185,1.0777,-0.4657,4.8526,3,0,11.2047
LOT1039,LOT1039_W05,PRODA,ROUTE_Y,0.3192,0.4324,0.028,-0.0651,-0.4054,-0.5523,0.9312,2,1,0.3643
LOT1040,LOT1040_W01,PRODB,ROUTE_X,-0.3179,-1.1932,-0.2172,-0.367,-1.2297,-0.9144,1.9548,1,0,-0.2485
LOT1040,LOT1040_W02,PRODB,ROUTE_Y,-0.867,-2.1508,-0.2094,-1.7459,-0.8174,-1.251,1.4743,1,0,0.8893
LOT1040,LOT1040_W03,PRODA,ROUTE_Y,2.3192,1.6544,0.3905,2.3935,1.4108,0.1642,4.3665,2,1,16.5363
LOT1040,LOT1040_W04,PRODA,ROUTE_X,-0.5714,-1.1838,1.4012,-0.3239,-0.2199,-1.3309,1.6125,2,0,0.3254
LOT1040,LOT1040_W05,PRODA,ROUTE_X,2.0338,1.5406,0.1813,1.9088,2.1606,0.7418,0.6901,3,1,13.6674
LOT1041,LOT1041_W01,PRODA,ROUTE_X,1.8822,-0.4991,-0.9114,0.9939,0.7943,0.4281,1.6735,3,0,5.0232
LOT1041,LOT1041_W02,PRODA,ROUTE_Y,-0.1697,-0.7706,0.8244,0.374,-0.6962,0.4471,3.7619,2,0,2.0368
LOT1041,LOT1041_W03,PRODB,ROUTE_X,0.4138,0.3407,0.9212,0.6143,-0.1056,0.5905,1.4054,1,0,1.4876
LOT1041,LOT1041_W04,PRODA,ROUTE_Y,-0.2323,0.2135,0.6547,-0.6316,0.343,0.5566,1.0196,0,0,1.6884
LOT1041,LOT1041_W05,PRODA,ROUTE_Y,0.0757,0.4136,0.7455,-0.0786,0.5913,-0.3583,1.5557,1,0,4.1032
LOT1042,LOT1042_W01,PRODB,ROUTE_Y,0.006,-1.1854,-0.2709,-0.8194,-1.2961,2.1223,0.7114,1,0,0.0771
LOT1042,LOT1042_W02,PRODA,ROUTE_X,0.4483,0.9934,-0.929,-0.1157,0.4571,0.3241,1.4728,2,0,0.2116
LOT1042,LOT1042_W03,PRODA,ROUTE_Y,1.1653,-0.1375,-0.8682,0.8695,0.4745,-1.6294,1.0876,1,0,0.2029
LOT1042,LOT1042_W04,PRODB,ROUTE_X,1.6474,1.3933,-1.6355,2.323,2.5297,-0.6729,7.0569,3,0,14.9983
LOT1042,LOT1042_W05,PRODB,ROUTE_Y,0.3096,0.1452,0.2369,-0.0421,-0.4358,-1.6786,0.2211,1,0,0.8306
LOT1043,LOT1043_W01,PRODB,ROUTE_Y,2.7895,0.756,-0.0834,3.1417,3.4802,0.5752,0.8109,4,1,19.7383
LOT1043,LOT1043_W02,PRODA,ROUTE_Y,-1.1509,-0.86,-0.44,-1.4469,-1.2545,-0.352,1.0189,0,0,0.6225
LOT1043,LOT1043_W03,PRODA,ROUTE_Y,2.1121,1.9849,-2.9556,2.2485,1.7517,-0.046,0.7161,2,1,16.3786
LOT1043,LOT1043_W04,PRODB,ROUTE_X,0.9403,1.0218,-1.2473,0.8625,0.7333,2.199,2.3174,2,0,9.9166
LOT1043,LOT1043_W05,PRODA,ROUTE_Y,0.866,0.3061,1.1208,1.3461,0.387,0.7222,0.9164,3,0,6.9445
LOT1044,LOT1044_W01,PRODA,ROUTE_X,0.2116,1.4844,-0.6646,-0.0825,-0.0759,0.7684,0.4189,0,0,-0.067
LOT1044,LOT1044_W02,PRODA,ROUTE_X,0.8864,1.35,0.3606,0.0215,1.2106,-0.7538,1.8248,1,0,3.9629
LOT1044,LOT1044_W03,PRODB,ROUTE_X,2.6908,1.7144,-1.3907,1.9307,2.1261,-0.461,1.3403,4,1,13.046
LOT1044,LOT1044_W04,PRODB,ROUTE_X,1.2003,1.2753,1.4387,0.9078,0.2036,0.2769,0.9553,1,0,7.414
LOT1044,LOT1044_W05,PRODA,ROUTE_X,2.4894,3.5851,-0.144,1.8024,2.9827,0.6709,4.2928,3,1,17.7538
LOT1045,LOT1045_W01,PRODB,ROUTE_X,1.8443,3.2866,0.29,2.0699,1.5621,-1.4875,2.3748,4,1,13.0785
LOT1045,LOT1045_W02,PRODA,ROUTE_X,2.5358,0.7627,2.3258,2.2797,1.9706,0.3269,2.1844,3,1,16.6303
LOT1045,LOT1045_W03,PRODA,ROUTE_Y,-0.7306,-0.5992,1.5164,0.5754,-1.3008,-0.132,2.4134,1,1,-0.4294
LOT1045,LOT1045_W04,PRODB,ROUTE_Y,0.3829,1.5279,-0.3066,-0.5729,0.3046,-0.1386,2.3242,2,0,1.7831
LOT1045,LOT1045_W05,PRODA,ROUTE_X,-3.6484,-2.7767,-0.5932,-3.5364,-2.8336,-1.5431,1.3966,0,0,0.6273
LOT1046,LOT1046_W01,PRODA,ROUTE_X,0.4765,-0.352,-0.3255,-0.1438,0.3305,-0.4442,0.9251,2,1,0.2614
LOT1046,LOT1046_W02,PRODA,ROUTE_X,2.6518,1.4883,0.5099,2.3804,2.8355,0.3535,1.8556,4,1,13.3954
LOT1046,LOT1046_W03,PRODB,ROUTE_Y,2.6775,2.317,-0.1052,2.7553,1.994,0.6263,1.3759,3,1,13.8848
LOT1046,LOT1046_W04,PRODA,ROUTE_X,1.0376,1.0266,-0.3952,-0.2414,0.8302,0.8123,0.2171,2,1,2.9501
LOT1046,LOT1046_W05,PRODB,ROUTE_X,1.4879,0.7584,1.4672,1.6182,1.6107,1.3784,0.6578,3,1,10.909
LOT1047,LOT1047_W01,PRODB,ROUTE_X,1.3705,0.0785,-0.1142,2.4171,0.625,-0.0202,1.2377,4,0,11.3151
LOT1047,LOT1047_W02,PRODA,ROUTE_X,1.716,0.8169,2.2996,1.4666,2.2031,-0.113,3.2273,3,1,16.3192
LOT1047,LOT1047_W03,PRODB,ROUTE_X,2.2429,0.3299,0.0907,2.3858,1.344,0.8862,1.8618,3,0,11.2738
LOT1047,LOT1047_W04,PRODA,ROUTE_Y,2.1981,3.7525,1.7853,2.7618,2.8366,1.0505,0.7831,4,1,17.4203
LOT1047,LOT1047_W05,PRODA,ROUTE_Y,0.408,0.4718,0.3573,0.3179,0.166,-0.3526,0.6038,2,0,2.0703
LOT1048,LOT1048_W01,PRODB,ROUTE_Y,3.8169,3.3065,0.963,3.4973,4.3267,1.5538,3.7148,4,1,24.3573
LOT1048,LOT1048_W02,PRODB,ROUTE_Y,2.331,1.3253,-0.7246,1.0794,2.0267,1.4458,1.4494,3,1,10.7694
LOT1048,LOT1048_W03,PRODA,ROUTE_Y,-1.0023,-0.6685,-0.8538,-0.6498,-1.2015,1.0912,0.0297,1,0,0.6642
LOT1048,LOT1048_W04,PRODA,ROUTE_X,2.0903,1.0029,0.4597,2.028,1.9477,2.1964,1.5246,2,1,17.1619
LOT1048,LOT1048_W05,PRODB,ROUTE_Y,-0.0356,-2.4043,0.9886,-0.5926,-1.1555,-0.8735,2.7553,2,0,-0.5238
LOT1049,LOT1049_W01,PRODB,ROUTE_Y,-1.3647,-1.9226,0.0403,-1.2951,-1.47,-0.2591,0.5855,2,0,0.4713
LOT1049,LOT1049_W02,PRODB,ROUTE_X,-0.2558,-1.7575,-1.2864,-0.5769,-0.6136,-0.0399,1.7554,2,0,0.3259
LOT1049,LOT1049_W03,PRODA,ROUTE_Y,-0.7422,-2.3959,-1.3603,-1.0328,-1.3984,-0.2465,1.8846,2,0,-0.4186
LOT1049,LOT1049_W04,PRODA,ROUTE_X,0.9244,-0.6136,-1.4271,1.2578,0.3649,-0.4644,0.621,2,0,5.5036
LOT1049,LOT1049_W05,PRODA,ROUTE_Y,0.0346,1.2098,-1.7676,-0.7015,0.8304,-1.4786,3.9482,0,0,1.5194
